Colorado Department of Revenue,,,,
Marijuana Sales by County Report,,,,
January 2014 to Date,,,,
,,,,
Month,Year,County,Medical Marijuana Sales ¹,Retail Marijuana Sales ²
6,2014,Montezuma,"$115,548 ",NA
6,2014,Montrose,NR,NA
6,2014,Ouray,NR,NR
6,2014,Park,NR,NR
6,2014,Pitkin,"$110,679 ","$322,473 "
6,2014,Pueblo,"$403,341 ","$1,571,864 "
6,2014,Routt,NR,NR
6,2014,Saguache,NR,NA
6,2014,San Miguel,"$75,455 ","$451,452 "
6,2014,Sedgwick,NR,NR
6,2014,Summit,"$203,354 ","$686,139 "
6,2014,Teller,NR,NA
6,2014,Weld,"$470,633 ","$795,293 "
7,2014, Total,"$31,137,623 ","$29,866,792 "
7,2014,Adams,"$452,488 ",NR
7,2014,Alamosa,NR,NA
7,2014,Arapahoe,"$1,470,823 ",NA
7,2014,Archuleta,NR,NA
7,2014,Boulder,"$2,547,883 ","$3,192,671 "
7,2014,Chaffee,"$92,938 ",NA
7,2014,Clear Creek,"$108,796 ","$473,299 "
7,2014,Costilla,NR,NA
7,2014,Denver,"$14,083,010 ","$14,518,417 "
7,2014,Eagle,"$165,132 ",NR
7,2014,El Paso,"$5,895,119 ",NR
7,2014,Fremont,"$250,084 ",NA
7,2014,Garfield,"$446,439 ","$403,958 "
7,2014,Gilpin,"$36,110 ","$160,328 "
7,2014,Grand,NR,NA
7,2014,Gunnison,NR,"$307,664 "
7,2014,Jefferson,"$1,913,729 ","$1,699,749 "
7,2014,La Plata,"$604,088 ",NA
7,2014,Lake,NA,NR
7,2014,Larimer,"$1,087,000 ","$1,083,910 "
7,2014,Mesa,NR,NA
7,2014,Moffat,NR,NA
7,2014,Montezuma,"$120,802 ",NA
7,2014,Montrose,NR,NA
7,2014,Ouray,NR,NR
7,2014,Park,NR,NR
7,2014,Pitkin,"$117,930 ","$505,148 "
7,2014,Pueblo,"$459,326 ","$1,985,679 "
7,2014,Routt,NR,NR
7,2014,Saguache,NR,NR
7,2014,San Miguel,"$49,131 ","$548,213 "
7,2014,Sedgwick,NR,NR
7,2014,Summit,"$189,746 ","$981,349 "
7,2014,Teller,NR,NA
7,2014,Weld,"$303,374 ","$1,168,267 "
8,2014, Total,"$33,912,226 ","$33,520,608 "
8,2014,Adams,"$481,873 ",NR
8,2014,Alamosa,NR,NA
8,2014,Arapahoe,"$1,453,140 ",NA
8,2014,Archuleta,NR,NA
8,2014,Boulder,"$2,728,671 ","$3,644,021 "
8,2014,Chaffee,"$75,887 ",NR
8,2014,Clear Creek,"$102,919 ","$480,132 "
8,2014,Costilla,NR,NA
8,2014,Denver,"$15,861,744 ","$15,901,236 "
8,2014,Eagle,"$171,357 ","$414,091 "
8,2014,El Paso,"$6,327,504 ",NR
8,2014,Fremont,"$268,966 ",NA
8,2014,Garfield,"$531,623 ","$603,468 "
8,2014,Gilpin,"$42,366 ","$155,054 "
8,2014,Grand,NR,NA
8,2014,Gunnison,NR,"$309,611 "
8,2014,Jefferson,"$2,021,406 ","$1,858,831 "
8,2014,La Plata,"$657,993 ",NA
8,2014,Lake,NA,NR
8,2014,Larimer,"$1,207,539 ","$1,340,810 "
8,2014,Mesa,NR,NA
8,2014,Moffat,NR,NA
8,2014,Montezuma,"$132,833 ",NA
8,2014,Montrose,NR,NA
8,2014,Ouray,NR,NR
8,2014,Park,NR,NR
8,2014,Pitkin,"$115,179 ","$502,231 "
8,2014,Pueblo,"$460,037 ","$1,685,115 "
8,2014,Routt,"$170,505 ",NR
8,2014,Saguache,NR,NR
8,2014,San Miguel,"$46,369 ","$591,931 "
8,2014,Sedgwick,NR,NR
8,2014,Summit,"$177,412 ","$941,538 "
8,2014,Teller,NR,NA
8,2014,Weld,"$275,556 ","$1,291,047 "
9,2014, Total,"$32,721,238 ","$30,345,357 "
9,2014,Adams,"$453,206 ",NR
9,2014,Alamosa,NR,NA
9,2014,Arapahoe,"$1,353,297 ",NA
9,2014,Archuleta,NR,NR
9,2014,Boulder,"$2,715,576 ","$3,314,834 "
9,2014,Chaffee,NR,NR
9,2014,Clear Creek,"$102,603 ","$375,860 "
9,2014,Costilla,NR,NA
9,2014,Denver,"$15,196,933 ","$14,364,191 "
9,2014,Eagle,"$181,480 ","$379,890 "
9,2014,El Paso,"$5,953,327 ",NR
9,2014,Fremont,"$233,349 ",NA
9,2014,Garfield,"$527,700 ","$537,711 "
9,2014,Gilpin,"$39,786 ","$138,821 "
9,2014,Grand,NR,NA
9,2014,Gunnison,NR,"$255,533 "
9,2014,Jefferson,"$1,845,807 ","$1,701,706 "
9,2014,La Plata,"$623,331 ",NR
9,2014,Lake,NA,NR
9,2014,Larimer,"$1,315,740 ","$1,378,589 "
9,2014,Mesa,NR,NA
9,2014,Moffat,NR,NA
9,2014,Montezuma,"$125,628 ",NA
9,2014,Montrose,NR,NA
9,2014,Morgan,NR,NR
9,2014,Ouray,NR,NR
9,2014,Park,NR,NR
9,2014,Pitkin,"$100,612 ","$316,259 "
9,2014,Pueblo,"$436,843 ","$1,386,314 "
9,2014,Routt,"$167,807 ",NR
9,2014,Saguache,NA,NR
9,2014,San Miguel,"$39,758 ","$501,532 "
9,2014,Sedgwick,NR,NR
9,2014,Summit,"$179,358 ","$726,128 "
9,2014,Teller,NR,NA
9,2014,Weld,"$287,891 ","$1,201,206 "
10,2014, Total,"$31,779,216 ","$31,185,985 "
10,2014,Adams,"$474,637 ",NR
10,2014,Alamosa,NR,NA
10,2014,Arapahoe,"$1,396,842 ",NR
10,2014,Archuleta,NR,NR
10,2014,Boulder,"$2,660,593 ","$3,477,557 "
10,2014,Chaffee,NR,NR
10,2014,Clear Creek,"$102,858 ","$338,132 "
10,2014,Costilla,NR,NA
10,2014,Denver,"$15,006,222 ","$14,895,186 "
10,2014,Eagle,"$206,273 ","$356,123 "
10,2014,El Paso,"$5,742,846 ",NR
10,2014,Fremont,"$174,220 ",NA
10,2014,Garfield,"$389,617 ","$553,834 "
10,2014,Gilpin,NR,NR
10,2014,Grand,NR,NA
10,2014,Gunnison,NR,"$184,394 "
10,2014,Jefferson,"$1,923,839 ","$1,714,442 "
10,2014,La Plata,"$531,825 ",NR
10,2014,Lake,NA,NR
10,2014,Larimer,"$1,232,929 ","$1,523,402 "
10,2014,Mesa,NR,NA
10,2014,Moffat,NR,NA
10,2014,Montezuma,NR,NA
10,2014,Montrose,NR,NA
10,2014,Morgan,NR,NR
10,2014,Ouray,NR,NR
10,2014,Park,NR,NR
10,2014,Pitkin,"$86,614 ","$246,079 "
10,2014,Pueblo,"$352,545 ","$1,245,865 "
10,2014,Routt,NR,NR
10,2014,Saguache,NA,NR
10,2014,San Miguel,"$36,239 ","$278,409 "
10,2014,Sedgwick,NR,NR
10,2014,Summit,"$178,233 ","$632,225 "
10,2014,Teller,NR,NA
10,2014,Weld,"$361,629 ","$1,126,809 "
11,2014, Total,"$28,978,462 ","$29,470,126 "
11,2014,Adams,"$480,189 ","$1,304,091 "
11,2014,Alamosa,NR,NA
11,2014,Arapahoe,"$1,345,048 ","$805,369 "
11,2014,Archuleta,NR,NR
11,2014,Boulder,"$2,400,813 ","$3,196,349 "
11,2014,Chaffee,NR,NR
11,2014,Clear Creek,"$91,727 ","$298,012 "
11,2014,Costilla,NR,NR
11,2014,Denver,"$13,469,383 ","$13,742,869 "
11,2014,Eagle,"$210,732 ","$373,883 "
11,2014,El Paso,"$5,223,552 ",NR
11,2014,Fremont,"$159,257 ",NA
11,2014,Garfield,"$318,967 ","$507,297 "
11,2014,Gilpin,NR,NR
11,2014,Grand,NR,NR
11,2014,Gunnison,NR,"$133,062 "
11,2014,Jefferson,"$1,837,165 ","$1,679,786 "
11,2014,La Plata,"$459,409 ","$647,493 "
11,2014,Lake,NA,NR
11,2014,Larimer,"$1,185,998 ","$1,493,948 "
11,2014,Las Animas,NA,NR
11,2014,Mesa,NR,NA
11,2014,Moffat,NR,NA
11,2014,Montezuma,NR,NA
11,2014,Montrose,NR,NA
11,2014,Morgan,NR,NR
11,2014,Ouray,NR,NR
11,2014,Park,NR,NR
11,2014,Pitkin,"$72,294 ","$216,781 "
11,2014,Pueblo,"$324,106 ","$1,137,217 "
11,2014,Routt,NR,NR
11,2014,Saguache,NA,NR
11,2014,San Miguel,"$26,291 ","$169,659 "
11,2014,Sedgwick,NR,NR
11,2014,Summit,"$163,698 ","$706,675 "
11,2014,Teller,NR,NA
11,2014,Weld,"$416,639 ","$992,006 "
12,2014, Total,"$28,660,719 ","$34,579,445 "
12,2014,Adams,"$470,394 ","$1,445,817 "
12,2014,Alamosa,NR,NA
12,2014,Arapahoe,"$1,498,465 ","$1,416,559 "
12,2014,Archuleta,NR,NR
12,2014,Boulder,"$2,548,354 ","$3,592,405 "
12,2014,Chaffee,NR,NR
12,2014,Clear Creek,"$83,182 ","$371,997 "
12,2014,Costilla,NR,NR
12,2014,Denver,"$12,138,739 ","$14,797,861 "
12,2014,Eagle,"$277,950 ","$710,631 "
12,2014,El Paso,"$5,517,533 ",NR
12,2014,Fremont,"$178,729 ",NA
12,2014,Garfield,"$283,365 ","$560,065 "
12,2014,Gilpin,"$34,112 ","$103,121 "
12,2014,Grand,NR,NR
12,2014,Gunnison,NR,"$228,173 "
12,2014,Jefferson,"$1,832,756 ","$1,990,092 "
12,2014,La Plata,"$497,203 ","$838,948 "
12,2014,Lake,NA,NR
12,2014,Larimer,"$1,316,194 ","$1,613,144 "
12,2014,Las Animas,NR,NR
12,2014,Mesa,NR,NA
12,2014,Moffat,NR,NA
12,2014,Montezuma,"$117,849 ",NR
12,2014,Montrose,NR,NA
12,2014,Morgan,NR,NR
12,2014,Ouray,NR,NR
12,2014,Park,NR,NR
12,2014,Pitkin,"$84,226 ","$599,569 "
12,2014,Pueblo,"$399,460 ","$1,158,670 "
12,2014,Routt,"$169,025 ","$493,734 "
12,2014,Saguache,NA,NR
12,2014,San Miguel,"$43,788 ","$292,834 "
12,2014,Sedgwick,NR,NR
12,2014,Summit,"$205,226 ","$1,256,397 "
12,2014,Teller,NR,NA
12,2014,Weld,"$394,521 ","$1,071,049 "
1,2015, Total,"$30,181,833 ","$37,224,033 "
1,2015,Adams,"$421,362 ","$1,189,877 "
1,2015,Alamosa,NR,NA
1,2015,Arapahoe,"$1,493,744 ","$1,844,768 "
1,2015,Archuleta,NR,NR
1,2015,Boulder,"$2,501,072 ","$3,565,252 "
1,2015,Chaffee,NR,NR
1,2015,Clear Creek,"$79,640 ","$455,108 "
1,2015,Costilla,NR,NR
1,2015,Denver,"$13,374,117 ","$15,485,689 "
1,2015,Eagle,"$316,095 ","$825,587 "
1,2015,El Paso,"$5,582,451 ",NR
1,2015,Fremont,"$180,201 ",NA
1,2015,Garfield,"$325,730 ","$616,641 "
1,2015,Gilpin,"$31,006 ","$112,455 "
1,2015,Grand,NR,NR
1,2015,Gunnison,NR,"$273,043 "
1,2015,Jefferson,"$1,868,844 ","$2,108,127 "
1,2015,La Plata,"$893,330 ","$798,627 "
1,2015,Lake,NA,NR
1,2015,Larimer,"$1,141,214 ","$1,728,021 "
1,2015,Las Animas,NR,"$224,113 "
1,2015,Mesa,NR,NR
1,2015,Moffat,NR,NA
1,2015,Montezuma,"$114,767 ",NR
1,2015,Montrose,NR,NA
1,2015,Morgan,NR,NR
1,2015,Ouray,NR,NR
1,2015,Park,NR,NR
1,2015,Pitkin,"$90,522 ","$813,722 "
1,2015,Pueblo,"$359,950 ","$1,063,092 "
1,2015,Routt,NR,NR
1,2015,Saguache,NA,NR
1,2015,San Juan,NA,NR
1,2015,San Miguel,"$50,579 ","$374,588 "
1,2015,Sedgwick,NR,NR
1,2015,Summit,"$255,639 ","$1,685,111 "
1,2015,Teller,NR,NA
1,2015,Weld,"$340,278 ","$1,199,406 "
2,2015, Total,"$29,066,073 ","$35,843,189 "
2,2015,Adams,"$434,375 ",NR
2,2015,Alamosa,NR,NA
2,2015,Arapahoe,"$1,402,007 ","$2,114,064 "
2,2015,Archuleta,NR,NR
2,2015,Boulder,"$2,257,951 ","$3,209,140 "
2,2015,Chaffee,NR,NR
2,2015,Clear Creek,"$77,001 ","$416,086 "
2,2015,Costilla,NR,NR
2,2015,Denver,"$12,841,486 ","$14,411,812 "
2,2015,Eagle,"$292,481 ","$735,296 "
2,2015,El Paso,"$5,578,020 ",NR
2,2015,Fremont,"$175,136 ",NA
2,2015,Garfield,"$348,057 ","$535,881 "
2,2015,Gilpin,"$28,410 ","$104,647 "
2,2015,Grand,NR,NR
2,2015,Gunnison,NR,"$224,407 "
2,2015,Jefferson,"$1,700,441 ","$1,960,725 "
2,2015,La Plata,"$892,507 ","$840,795 "
2,2015,Lake,NA,NR
2,2015,Larimer,"$1,111,034 ","$1,685,559 "
2,2015,Las Animas,NR,"$287,148 "
2,2015,Mesa,NR,NR
2,2015,Moffat,NR,NA
2,2015,Montezuma,"$104,595 ","$159,174 "
2,2015,Montrose,NR,NA
2,2015,Morgan,NR,NR
2,2015,Ouray,NR,NR
2,2015,Park,NR,NR
2,2015,Pitkin,"$75,050 ","$705,757 "
2,2015,Pueblo,"$358,140 ","$1,039,417 "
2,2015,Routt,NR,NR
2,2015,Saguache,NA,NR
2,2015,San Juan,NA,NR
2,2015,San Miguel,"$41,195 ","$300,473 "
2,2015,Sedgwick,NR,NR
2,2015,Summit,"$246,053 ","$1,393,552 "
2,2015,Teller,NR,NA
2,2015,Weld,"$364,563 ","$1,270,638 "
3,2015, Total,"$32,820,548 ","$42,952,626 "
3,2015,Adams,"$479,975 ","$1,497,796 "
3,2015,Alamosa,NR,NA
3,2015,Arapahoe,"$1,562,845 ","$2,615,133 "
3,2015,Archuleta,NR,NR
3,2015,Boulder,"$2,525,620 ","$3,856,723 "
3,2015,Chaffee,NR,NR
3,2015,Clear Creek,"$82,344 ","$485,304 "
3,2015,Costilla,NR,NR
3,2015,Denver,"$14,406,613 ","$17,121,933 "
3,2015,Eagle,"$337,864 ","$862,396 "
3,2015,El Paso,"$6,380,331 ",NR
3,2015,Fremont,"$194,875 ",NA
3,2015,Garfield,"$379,738 ","$642,659 "
3,2015,Gilpin,NR,"$117,004 "
3,2015,Grand,NR,NR
3,2015,Gunnison,NR,"$296,334 "
3,2015,Jefferson,"$1,861,813 ","$2,224,610 "
3,2015,La Plata,"$1,017,530 ","$1,020,552 "
3,2015,Lake,NA,NR
3,2015,Larimer,"$1,320,406 ","$1,943,174 "
3,2015,Las Animas,NR,"$415,008 "
3,2015,Mesa,NR,NR
3,2015,Moffat,NR,NA
3,2015,Montezuma,"$133,639 ","$254,446 "
3,2015,Montrose,NR,NA
3,2015,Morgan,NR,NR
3,2015,Ouray,NR,NR
3,2015,Park,NR,"$146,105 "
3,2015,Pitkin,"$85,006 ","$896,693 "
3,2015,Pueblo,"$463,245 ","$1,355,119 "
3,2015,Routt,"$199,449 ","$616,913 "
3,2015,Saguache,NA,NR
3,2015,San Juan,NA,NR
3,2015,San Miguel,"$50,730 ","$375,409 "
3,2015,Sedgwick,NR,NR
3,2015,Summit,"$292,686 ","$1,727,608 "
3,2015,Teller,NR,NA
3,2015,Weld,"$386,290 ","$1,443,488 "
4,2015, Total,"$32,878,517 ","$43,832,944 "
4,2015,Adams,"$474,341 ","$1,611,106 "
4,2015,Alamosa,NR,NA
4,2015,Arapahoe,"$1,559,596 ","$3,257,101 "
4,2015,Archuleta,NR,NR
4,2015,Boulder,"$2,559,060 ","$3,973,545 "
4,2015,Chaffee,NR,"$250,729 "
4,2015,Clear Creek,"$76,243 ","$365,896 "
4,2015,Costilla,NR,NR
4,2015,Denver,"$14,953,494 ","$18,946,519 "
4,2015,Eagle,"$287,781 ","$516,095 "
4,2015,El Paso,"$6,540,175 ",NR
4,2015,Fremont,"$198,045 ",NA
4,2015,Garfield,"$381,432 ","$644,631 "
4,2015,Gilpin,NR,"$130,946 "
4,2015,Grand,NR,NR
4,2015,Gunnison,NR,"$160,176 "
4,2015,Jefferson,"$1,931,784 ","$2,429,996 "
4,2015,La Plata,"$493,486 ","$930,516 "
4,2015,Lake,NA,NR
4,2015,Larimer,"$1,277,080 ","$2,045,132 "
4,2015,Las Animas,NR,"$471,514 "
4,2015,Mesa,NR,NR
4,2015,Moffat,NR,NA
4,2015,Montezuma,"$124,006 ","$313,150 "
4,2015,Montrose,NR,NA
4,2015,Morgan,NR,NR
4,2015,Ouray,NR,NR
4,2015,Park,NR,"$121,375 "
4,2015,Pitkin,"$65,486 ","$426,689 "
4,2015,Pueblo,"$389,146 ","$1,318,252 "
4,2015,Routt,"$193,801 ","$433,152 "
